====================================================== Fold 0: 
NTNcombined.Issachar NTNcombined.relativeOf NTNcombined.Naphtali
NTNcombined.ManassehThePatriarch NTNcombined.relativeOf NTNcombined.ManassehThePatriarch
NTNcombined.Paul NTNcombined.knows NTNcombined.Euodia
NTNcombined.Asher NTNcombined.relativeOf NTNcombined.Reuben
NTNcombined.Susanna NTNcombined.religiousBelief NTNcombined.Christianity
NTNcombined.JohnOfTheSanhedrin NTNcombined.relativeOf NTNcombined.Annas
NTNcombined.Judah NTNcombined.relativeOf NTNcombined.Perez
NTNcombined.AnaniasTheHighPriest NTNcombined.memberOf NTNcombined.Sanhedrin
NTNcombined.Jewish NTNcombined.ethnicityOf NTNcombined.Elisha
NTNcombined.Judah NTNcombined.relativeOf NTNcombined.Levi
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Asyncritus
NTNcombined.Asher NTNcombined.relativeOf NTNcombined.Naphtali
NTNcombined.ManassehThePatriarch NTNcombined.siblingOf NTNcombined.Issachar
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Ampliatus
NTNcombined.Asher NTNcombined.siblingOf NTNcombined.ManassehThePatriarch
NTNcombined.GaiusOfCorinth NTNcombined.knows NTNcombined.Paul
NTNcombined.Naphtali NTNcombined.relativeOf NTNcombined.Benjamin
NTNcombined.Tertius NTNcombined.knows NTNcombined.Paul
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Phlegon
NTNcombined.Julia NTNcombined.knows NTNcombined.Priscilla
NTNcombined.Benjamin NTNcombined.relativeOf NTNcombined.ManassehThePatriarch
NTNcombined.Abraham NTNcombined.childOf NTNcombined.Terah
NTNcombined.Zebulun NTNcombined.relativeOf NTNcombined.Issachar
NTNcombined.ManassehThePatriarch NTNcombined.siblingOf NTNcombined.Levi
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Claudia
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Aquila
NTNcombined.Stephanas NTNcombined.religiousBelief NTNcombined.Christianity
NTNcombined.Jacob NTNcombined.parentOf NTNcombined.JosephThePatriarch
NTNcombined.Patrobas NTNcombined.religiousBelief NTNcombined.Christianity
==============================
New Rules (619):
NTNcombined.Tertullus NTNcombined.collaboratesWith NTNcombined.JohnOfTheSanhedrin
NTNcombined.GaiusOfMacedonia NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.Lucius NTNcombined.knows NTNcombined.Paul
NTNcombined.GaiusOfMacedonia NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.Gallio NTNcombined.knows NTNcombined.Paul
NTNcombined.Junia NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.GaiusTheBeloved NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Caesarea NTNcombined.visitedPlaceOf NTNcombined.CaesarAugustus
NTNcombined.Lazarus NTNcombined.knows NTNcombined.Priscilla
NTNcombined.JohnOfTheSanhedrin NTNcombined.knows NTNcombined.JohnOfTheSanhedrin
NTNcombined.Corinth NTNcombined.visitedPlaceOf NTNcombined.Paul
NTNcombined.SidonGeodata NTNcombined.locationOf NTNcombined.Tyre
NTNcombined.JohnOfTheSanhedrin NTNcombined.ethnicity NTNcombined.Judean
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.GaiusTheBeloved
NTNcombined.Nympha NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.TyreGeodata NTNcombined.locationOf NTNcombined.Sidon
NTNcombined.Hagar NTNcombined.relativeOf NTNcombined.Isaac
NTNcombined.Gamaliel NTNcombined.ethnicity NTNcombined.Judean
NTNcombined.MaryOfBethany NTNcombined.knows NTNcombined.Priscilla
NTNcombined.Sidon NTNcombined.location NTNcombined.CaesareaPhilippiGeodata
NTNcombined.Jewish NTNcombined.ethnicityOf NTNcombined.Moses
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Lois
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Lydia
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Fortunatus NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.Secundus NTNcombined.visitedPlace NTNcombined.Berea
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Euodia
NTNcombined.GaiusOfCorinth NTNcombined.visitedPlace NTNcombined.Ephesus
NTNcombined.Hagar NTNcombined.hasAntagonist NTNcombined.Hagar
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Ampliatus
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Syntyche
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.MaryWifeOfClopas
NTNcombined.Issachar NTNcombined.ethnicity NTNcombined.Jewish
NTNcombined.MaryMotherOfJohnMark NTNcombined.knows NTNcombined.Priscilla
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Tabitha
NTNcombined.SimonTheTanner NTNcombined.knows NTNcombined.Paul
NTNcombined.Secundus NTNcombined.visitedPlace NTNcombined.Apollonia
NTNcombined.Judah NTNcombined.relativeOf NTNcombined.Rachel
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Fortunatus
NTNcombined.MaryOfBethany NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.JohnOfTheSanhedrin NTNcombined.enemyOf NTNcombined.Paul
NTNcombined.Naphtali NTNcombined.relativeOf NTNcombined.Jacob
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.GaiusTheBeloved
NTNcombined.Priscilla NTNcombined.knows NTNcombined.MaryMagdalene
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Damaris
NTNcombined.Terah NTNcombined.parentOf NTNcombined.Hagar
NTNcombined.JohntheBaptist NTNcombined.childOf NTNcombined.Gideon
NTNcombined.Julia NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Lois NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.Jewish NTNcombined.ethnicityOf NTNcombined.Phoebe
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.GaiusTheBeloved
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Clement
NTNcombined.Sosipater NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Junia NTNcombined.knows NTNcombined.Paul
NTNcombined.Haran NTNcombined.subregionOf NTNcombined.Ituraea
NTNcombined.MaryMagdalene NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.Hermes NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Thessalonica NTNcombined.location NTNcombined.AmphipolisGeodata
NTNcombined.Caesarea NTNcombined.residentPlaceOf NTNcombined.TiberiusCaesar
NTNcombined.Thessalonica NTNcombined.location NTNcombined.ApolloniaGeodata
NTNcombined.JohnOfTheSanhedrin NTNcombined.collaboratesWith NTNcombined.Tertullus
NTNcombined.ThessalonicaGeodata NTNcombined.locationOf NTNcombined.Amphipolis
NTNcombined.Paul NTNcombined.knows NTNcombined.Salome
NTNcombined.Sapphira NTNcombined.knows NTNcombined.Priscilla
NTNcombined.Terah NTNcombined.relativeOf NTNcombined.Hagar
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Salome
NTNcombined.Jewish NTNcombined.ethnicityOf NTNcombined.Zebulun
NTNcombined.Sarah NTNcombined.hasAntagonist NTNcombined.Sarah
NTNcombined.Paul NTNcombined.visitedPlace NTNcombined.Corinth
NTNcombined.Egyptian NTNcombined.ethnicityOf NTNcombined.Sarah
NTNcombined.Sapphira NTNcombined.knows NTNcombined.Paul
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Paul
NTNcombined.Secundus NTNcombined.residentPlace NTNcombined.Apollonia
NTNcombined.Timothy NTNcombined.visitedPlace NTNcombined.Ephesus
NTNcombined.Jacob NTNcombined.relativeOf NTNcombined.Issachar
NTNcombined.Phoebe NTNcombined.ethnicity NTNcombined.Jewish
NTNcombined.Timothy NTNcombined.residentPlace NTNcombined.Ephesus
NTNcombined.Jewish NTNcombined.ethnicityOf NTNcombined.AlexanderOfTheSanhedrin
NTNcombined.Abraham NTNcombined.antagonistOf NTNcombined.Hagar
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Joanna
NTNcombined.Claudia NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Hermes
NTNcombined.Tertius NTNcombined.visitedPlace NTNcombined.Ephesus
NTNcombined.Judean NTNcombined.ethnicityOf NTNcombined.Gamaliel
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Salome
NTNcombined.Gideon NTNcombined.residentPlace NTNcombined.Judea
NTNcombined.Nereus NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Egyptian NTNcombined.ethnicityOf NTNcombined.Abraham
NTNcombined.AlexanderOfTheSanhedrin NTNcombined.knows NTNcombined.Tertullus
NTNcombined.JohnSonOfZebedee NTNcombined.knows NTNcombined.Gamaliel
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Timothy
NTNcombined.Sapphira NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.Berea NTNcombined.location NTNcombined.AmphipolisGeodata
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Timothy
NTNcombined.GaiusOfDerbe NTNcombined.knows NTNcombined.Priscilla
NTNcombined.AnaniasTheHighPriest NTNcombined.knows NTNcombined.JohnSonOfZebedee
NTNcombined.Gideon NTNcombined.relativeOf NTNcombined.JohntheBaptist
NTNcombined.Stephanas NTNcombined.residentPlace NTNcombined.Ephesus
NTNcombined.Zebulun NTNcombined.relativeOf NTNcombined.Jacob
NTNcombined.Lydia NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.Judean NTNcombined.ethnicityOf NTNcombined.JohnOfTheSanhedrin
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Joanna
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Jason
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Hermogenes
NTNcombined.Joanna NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.GaiusTheBeloved NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.Paul NTNcombined.knows NTNcombined.GaiusTheBeloved
NTNcombined.Reuben NTNcombined.siblingOf NTNcombined.Neri
NTNcombined.Secundus NTNcombined.residentPlace NTNcombined.Berea
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Stachys
NTNcombined.Sarah NTNcombined.knows NTNcombined.Sarah
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Tryphaena
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Susanna
NTNcombined.Caesarea NTNcombined.residentPlaceOf NTNcombined.CaesarAugustus
NTNcombined.Sarah NTNcombined.spouseOf NTNcombined.Sarah
NTNcombined.Caesarea NTNcombined.residentPlaceOf NTNcombined.CaesarNero
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Tabitha
NTNcombined.Amphipolis NTNcombined.location NTNcombined.ApolloniaGeodata
NTNcombined.Levi NTNcombined.ethnicity NTNcombined.Jewish
NTNcombined.SimonPeter NTNcombined.knows NTNcombined.Gamaliel
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Sosipater
NTNcombined.Lucius NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.MaryMotherOfJohnMark NTNcombined.knows NTNcombined.Paul
NTNcombined.Gamaliel NTNcombined.enemyOf NTNcombined.JohnSonOfZebedee
NTNcombined.Sidon NTNcombined.location NTNcombined.HaranGeodata
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Lydia
NTNcombined.Fortunatus NTNcombined.knows NTNcombined.Priscilla
NTNcombined.Thessalonica NTNcombined.location NTNcombined.BereaGeodata
NTNcombined.Paul NTNcombined.knows NTNcombined.SimonTheTanner
NTNcombined.Jacob NTNcombined.relativeOf NTNcombined.Levi
NTNcombined.Gallio NTNcombined.residentPlace NTNcombined.Caesarea
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Junia
NTNcombined.Tertius NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Mary
NTNcombined.Lazarus NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Tertius NTNcombined.residentPlace NTNcombined.Ephesus
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Epaenetus
NTNcombined.Paul NTNcombined.knows NTNcombined.Joanna
NTNcombined.Sarah NTNcombined.antagonistOf NTNcombined.Abraham
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Clement
NTNcombined.Corinth NTNcombined.residentPlaceOf NTNcombined.Paul
NTNcombined.AlexanderOfTheSanhedrin NTNcombined.enemyOf NTNcombined.Paul
NTNcombined.Patrobas NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.JohnOfTheSanhedrin NTNcombined.collaboratesWith NTNcombined.AnaniasTheHighPriest
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Lois
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Julia
NTNcombined.Gideon NTNcombined.spouseOf NTNcombined.Zechariah
NTNcombined.AnaniasTheHighPriest NTNcombined.enemyOf NTNcombined.SimonPeter
NTNcombined.Paul NTNcombined.knows NTNcombined.MaryMotherOfJohnMark
NTNcombined.Jacob NTNcombined.relativeOf NTNcombined.Zebulun
NTNcombined.AlexanderOfTheSanhedrin NTNcombined.knows NTNcombined.Annas
NTNcombined.Jacob NTNcombined.parentOf NTNcombined.Zebulun
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.MaryOfBethany
NTNcombined.Apelles NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.MaryMagdalene NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.Epaenetus NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.MaryWifeOfClopas
NTNcombined.Ephesus NTNcombined.residentPlaceOf NTNcombined.Fortunatus
NTNcombined.Priscilla NTNcombined.knows NTNcombined.SimonTheTanner
NTNcombined.CaesareaPhilippi NTNcombined.subregionOf NTNcombined.Mesopotamia
NTNcombined.SimonTheTanner NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Tryphosa
NTNcombined.Paul NTNcombined.knows NTNcombined.AlexanderOfTheSanhedrin
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Stephanas
NTNcombined.Ephesus NTNcombined.visitedPlaceOf NTNcombined.Lucius
NTNcombined.Paul NTNcombined.knows NTNcombined.MaryWifeOfClopas
NTNcombined.Lois NTNcombined.knows NTNcombined.Priscilla
NTNcombined.Ephesus NTNcombined.residentPlaceOf NTNcombined.Jason
NTNcombined.GaiusOfCorinth NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.Sosipater NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Salome
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Sosipater
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Nereus
NTNcombined.Abraham NTNcombined.spouseOf NTNcombined.Hagar
NTNcombined.Zebulun NTNcombined.childOf NTNcombined.Jacob
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.MaryMagdalene
NTNcombined.Levi NTNcombined.relativeOf NTNcombined.Jacob
NTNcombined.Hagar NTNcombined.knows NTNcombined.Hagar
NTNcombined.Sarah NTNcombined.spouseOf NTNcombined.Hagar
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Euodia
NTNcombined.Paul NTNcombined.knows NTNcombined.Cornelius
NTNcombined.Sidon NTNcombined.location NTNcombined.TyreGeodata
NTNcombined.Sapphira NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.HaranGeodata NTNcombined.locationOf NTNcombined.Sidon
NTNcombined.Lois NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Paul NTNcombined.knows NTNcombined.Lucius
NTNcombined.TiberiusCaesar NTNcombined.residentPlace NTNcombined.Caesarea
NTNcombined.Ephesus NTNcombined.visitedPlaceOf NTNcombined.Timothy
NTNcombined.MaryWifeOfClopas NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.Reuben NTNcombined.childOf NTNcombined.Jacob
NTNcombined.Gideon NTNcombined.parentOf NTNcombined.JohntheBaptist
NTNcombined.Zarephath NTNcombined.location NTNcombined.TyreGeodata
NTNcombined.CaesareaPhilippi NTNcombined.location NTNcombined.HaranGeodata
NTNcombined.Clement NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.ThessalonicaGeodata NTNcombined.locationOf NTNcombined.Apollonia
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Fortunatus
NTNcombined.Apollonia NTNcombined.residentPlaceOf NTNcombined.Secundus
NTNcombined.Clement NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.CaesarNero NTNcombined.knows NTNcombined.Paul
NTNcombined.MaryMagdalene NTNcombined.knows NTNcombined.Priscilla
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Lydia
NTNcombined.Aristarchus NTNcombined.visitedPlace NTNcombined.Corinth
NTNcombined.Joanna NTNcombined.knows NTNcombined.Paul
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Sapphira
NTNcombined.Abraham NTNcombined.hasAntagonist NTNcombined.Sarah
NTNcombined.Phoebe NTNcombined.visitedPlace NTNcombined.Canaan
NTNcombined.Ephesus NTNcombined.visitedPlaceOf NTNcombined.GaiusOfCorinth
NTNcombined.Lydia NTNcombined.knows NTNcombined.Priscilla
NTNcombined.Secundus NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.Apollonia NTNcombined.location NTNcombined.BereaGeodata
NTNcombined.Judea NTNcombined.residentPlaceOf NTNcombined.Gideon
NTNcombined.Cornelius NTNcombined.knows NTNcombined.Paul
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.GaiusOfCorinth
NTNcombined.Lazarus NTNcombined.knows NTNcombined.Paul
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.MaryWifeOfClopas
NTNcombined.MaryMagdalene NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Salome NTNcombined.knows NTNcombined.Priscilla
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Tertius
NTNcombined.Damaris NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.Berea NTNcombined.residentPlaceOf NTNcombined.Secundus
NTNcombined.Nympha NTNcombined.knows NTNcombined.Priscilla
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Joanna
NTNcombined.Abraham NTNcombined.knows NTNcombined.Abraham
NTNcombined.Ephesus NTNcombined.residentPlaceOf NTNcombined.Sosipater
NTNcombined.MaryMotherOfJohnMark NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.GaiusOfCorinth
NTNcombined.Secundus NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.Elisha NTNcombined.knows NTNcombined.Jason
NTNcombined.Sapphira NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.Paul NTNcombined.knows NTNcombined.CaesarAugustus
NTNcombined.CaesareaPhilippiGeodata NTNcombined.locationOf NTNcombined.Haran
NTNcombined.Tabitha NTNcombined.knows NTNcombined.Priscilla
NTNcombined.Paul NTNcombined.knows NTNcombined.Gallio
NTNcombined.AlexanderOfTheSanhedrin NTNcombined.ethnicity NTNcombined.Levite
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.GaiusOfDerbe
NTNcombined.JohnSonOfZebedee NTNcombined.hasEnemy NTNcombined.AnaniasTheHighPriest
NTNcombined.Apollonia NTNcombined.location NTNcombined.AmphipolisGeodata
NTNcombined.Judah NTNcombined.childOf NTNcombined.Rachel
NTNcombined.Paul NTNcombined.knows NTNcombined.CaesarNero
NTNcombined.Joanna NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.GaiusOfCorinth NTNcombined.knows NTNcombined.Priscilla
NTNcombined.Jewish NTNcombined.ethnicityOf NTNcombined.Levi
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Jason
NTNcombined.Amphipolis NTNcombined.visitedPlaceOf NTNcombined.Secundus
NTNcombined.Paul NTNcombined.knows NTNcombined.MaryMagdalene
NTNcombined.Amphipolis NTNcombined.location NTNcombined.ThessalonicaGeodata
NTNcombined.Salome NTNcombined.knows NTNcombined.Paul
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Lucius
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Susanna
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Clement
NTNcombined.AnaniasTheHighPriest NTNcombined.knows NTNcombined.SimonPeter
NTNcombined.SidonGeodata NTNcombined.locationOf NTNcombined.Haran
NTNcombined.Tertullus NTNcombined.collaboratesWith NTNcombined.AlexanderOfTheSanhedrin
NTNcombined.Priscilla NTNcombined.knows NTNcombined.RufusOfRome
NTNcombined.AlexanderOfTheSanhedrin NTNcombined.knows NTNcombined.AlexanderOfTheSanhedrin
NTNcombined.Susanna NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.Mary NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Priscilla NTNcombined.knows NTNcombined.GaiusOfCorinth
NTNcombined.Euodia NTNcombined.knows NTNcombined.Priscilla
NTNcombined.Mary NTNcombined.relativeOf NTNcombined.Gideon
NTNcombined.SimonPeter NTNcombined.hasEnemy NTNcombined.Gamaliel
NTNcombined.JohnOfTheSanhedrin NTNcombined.knows NTNcombined.Tertullus
NTNcombined.Lucius NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.CaesarAugustus NTNcombined.knows NTNcombined.Paul
NTNcombined.EphesusGeodata NTNcombined.locationOf NTNcombined.Corinth
NTNcombined.AlexanderOfTheSanhedrin NTNcombined.knows NTNcombined.Paul
NTNcombined.Sosipater NTNcombined.visitedPlace NTNcombined.Ephesus
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Claudia
NTNcombined.Gamaliel NTNcombined.knows NTNcombined.SimonPeter
NTNcombined.Sarah NTNcombined.antagonistOf NTNcombined.Sarah
NTNcombined.Olympas NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.RufusOfRome
NTNcombined.Elisha NTNcombined.knows NTNcombined.Elisha
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Paul
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Lazarus
NTNcombined.Paul NTNcombined.knows NTNcombined.Apphia
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.MaryMotherOfJohnMark
NTNcombined.Jason NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Nympha
NTNcombined.RufusOfRome NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Annas NTNcombined.knows NTNcombined.AnaniasTheHighPriest
NTNcombined.Susanna NTNcombined.knows NTNcombined.Paul
NTNcombined.Priscilla NTNcombined.knows NTNcombined.MaryMotherOfJohnMark
NTNcombined.ApolloniaGeodata NTNcombined.locationOf NTNcombined.Thessalonica
NTNcombined.Paul NTNcombined.collaboratesWith NTNcombined.Sosipater
NTNcombined.Zebulun NTNcombined.ethnicity NTNcombined.Jewish
NTNcombined.Reuben NTNcombined.relativeOf NTNcombined.Jacob
NTNcombined.Gallio NTNcombined.visitedPlace NTNcombined.Caesarea
NTNcombined.Paul NTNcombined.knows NTNcombined.TiberiusCaesar
NTNcombined.Issachar NTNcombined.childOf NTNcombined.Jacob
