====================================================== Fold 0: 
humandisease3.PR_SYMS_D_E_AND_DIS_X humandisease3.hasSymptomContainer humandisease3.DIS_Y_Container_E
humandisease3.A95.9_SYM_Convulsions humandisease3.containsSymptomOrDisease humandisease3.Shiver
humandisease3.A20.0_SYM_Convulsions humandisease3.containsSymptomOrDisease humandisease3.Shiver
humandisease3.A90_LT_CSC_Complete_blood_count humandisease3.containsLabTest humandisease3.Low_Blood_Pressure
humandisease3.DIS_X humandisease3.isSymptomOf humandisease3.DIS_Z
humandisease3.PR_SYMS_A_B humandisease3.hasSymptom humandisease3.SYM_C
humandisease3.Shiver humandisease3.isSymptomOf humandisease3.Lassa_fever
humandisease3.B44.0_LT_CT_Thoracic humandisease3.containsLabTest humandisease3.Open_lung_biopsy
humandisease3.SYM_C humandisease3.isSymptomOf humandisease3.PR_SYMS_A_B
humandisease3.A20.7_SYM_Abdominal_pain humandisease3.containsSymptomOrDisease humandisease3.Organ_failure
humandisease3.B44.0_SYM_Chest_pain humandisease3.containsSymptomOrDisease humandisease3.Abnormal_weight_loss
humandisease3.SYM_F humandisease3.isSymptomOf humandisease3.DIS_X
humandisease3.B44.0_LT_Open_Lung_biopsy humandisease3.containsLabTest humandisease3.Bronchoscopy
humandisease3.B15.9_LT_IgM_and_IgG_antibodies_to_hepatitis_A humandisease3.containsLabTest humandisease3.Liver_function_tests_Unspecified_Hepatic_Enzyme_Elevated
humandisease3.PR_SYMS_D_E_AND_DIS_X humandisease3.hasSymptomContainer humandisease3.DIS_Y_Container_D
humandisease3.B44.9_SYM_Vision_problems humandisease3.containsSymptomOrDisease humandisease3.Pain_localized_to_upper_abdomen
humandisease3.A20.2_LT_Blood_culture humandisease3.containsLabTest humandisease3.Lymph_node_culture
humandisease3.B15.9_LT_Liver_function_test_hepatic_enzyme_elevated humandisease3.containsLabTest humandisease3.IgM_and_IgG_antibodies_to_hepatitis_A
humandisease3.A20.0_LT_Blood_culture humandisease3.containsLabTest humandisease3.Lymph_node_culture
humandisease3.DIS_Z humandisease3.hasSymptom humandisease3.SYM_C
humandisease3.B44.0_LT_CT_Thoracic humandisease3.containsLabTest humandisease3.Bronchoscopy
humandisease3.SYM_C humandisease3.isSymptomOf humandisease3.DIS_Z
humandisease3.A20.7_SYM_Organ_failure humandisease3.containsSymptomOrDisease humandisease3.Other_and_unspecified_abdominal_pain
humandisease3.DIS_Z humandisease3.hasSymptom humandisease3.SYM_E
humandisease3.A90_LT_Antibody_titer_for_dengue_viruses humandisease3.containsLabTest humandisease3.Serology_studies_to_look_for_antibodies_to_dengue_viruses
humandisease3.A20.7_LT_Lymph_node_culture humandisease3.containsLabTest humandisease3.Blood_culture
humandisease3.Aspergillosis_unspecified humandisease3.hasSymptom humandisease3.Other_and_unspecified_convulsions
humandisease3.A20.0_LT_Lymph_node_culture humandisease3.containsLabTest humandisease3.Blood_culture
humandisease3.B44.9_SYM_Chest_pain_Pain_upper_abdomen humandisease3.containsSymptomOrDisease humandisease3.Vision_problems
humandisease3.B44.0_LT_Bronchoscopy humandisease3.containsLabTest humandisease3.CT_Thoracic
humandisease3.A96.2_SYM_Convulsion humandisease3.containsSymptomOrDisease humandisease3.Shiver
humandisease3.B44.0_LT_CBC_showing_low_neutrophil_level humandisease3.containsLabTest humandisease3.Chest_x-ray
humandisease3.PR_SYMS_A_B humandisease3.hasSymptom humandisease3.SYM_F
humandisease3.DIS_X humandisease3.hasSymptom humandisease3.SYM_F
humandisease3.A20.0_LT_Routime_Sputum humandisease3.containsLabTest humandisease3.Lymph_node_culture
humandisease3.DIS_Z humandisease3.hasSymptom humandisease3.DIS_X
humandisease3.A20.7_LT_Blood_culture humandisease3.containsLabTest humandisease3.Routine_sputum_culture
humandisease3.B44.9_SYM_Weight_Loss humandisease3.containsSymptomOrDisease humandisease3.Chest_pain_unspecified
humandisease3.PR_SYMS_D_E_AND_DIS_X humandisease3.hasSymptomContainer humandisease3.DIS_Y_Container_X
humandisease3.PR_SYMS_A_B_C humandisease3.hasSymptom humandisease3.SYM_F
humandisease3.DIS_Z humandisease3.hasSymptom humandisease3.SYM_F
humandisease3.Lassa_fever humandisease3.hasSymptom humandisease3.Shiver
humandisease3.A20.0_LT_Routime_Sputum humandisease3.containsLabTest humandisease3.Blood_culture
