====================================================== Fold 0: 
glycolysis.unificationXref47 glycolysis.XREF glycolysis.publicationXref222
glycolysis.chemicalStructure53 glycolysis.STRUCTURE glycolysis.unificationXref187
glycolysis.unificationXref286 glycolysis.ORGANISM glycolysis.physicalEntityParticipant120
glycolysis.unificationXref279 glycolysis.XREF glycolysis.unificationXref287
glycolysis.unificationXref278 glycolysis.XREF glycolysis.biochemicalReaction260
glycolysis.unificationXref226 glycolysis.XREF glycolysis.unificationXref69
glycolysis.physicalEntityParticipant159 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant162
glycolysis.unificationXref44 glycolysis.XREF glycolysis.unificationXref99
glycolysis.modulation314 glycolysis.PARTICIPANTS glycolysis.catalysis83
glycolysis.unificationXref69 glycolysis.XREF glycolysis.unificationXref45
glycolysis.chemicalStructure150 glycolysis.STRUCTURE glycolysis.chemicalStructure32
glycolysis.protein196 glycolysis.CELLULAR-LOCATION glycolysis.smallMolecule149
glycolysis.physicalEntityParticipant159 glycolysis.PARTICIPANTS glycolysis.modulation158
glycolysis.relationshipXref46 glycolysis.XREF glycolysis.physicalEntityParticipant180
glycolysis.chemicalStructure157 glycolysis.COMPONENTS glycolysis.physicalEntityParticipant97
glycolysis.protein98 glycolysis.PHYSICAL-ENTITY glycolysis.complex139
glycolysis.chemicalStructure236 glycolysis.XREF glycolysis.unificationXref59
glycolysis.relationshipXref131 glycolysis.XREF glycolysis.unificationXref70
glycolysis.biochemicalReaction84 glycolysis.PARTICIPANTS glycolysis.publicationXref220
glycolysis.physicalEntityParticipant190 glycolysis.RIGHT glycolysis.physicalEntityParticipant188
glycolysis.biochemicalReaction260 glycolysis.XREF glycolysis.chemicalStructure35
glycolysis.smallMolecule229 glycolysis.ORGANISM glycolysis.publicationXref222
glycolysis.unificationXref124 glycolysis.XREF glycolysis.publicationXref170
glycolysis.unificationXref255 glycolysis.ORGANISM glycolysis.protein209
glycolysis.protein290 glycolysis.PHYSICAL-ENTITY glycolysis.openControlledVocabulary17
glycolysis.unificationXref69 glycolysis.XREF glycolysis.modulation232
glycolysis.unificationXref175 glycolysis.XREF glycolysis.biochemicalReaction260
glycolysis.physicalEntityParticipant37 glycolysis.XREF glycolysis.unificationXref246
glycolysis.publicationXref192 glycolysis.ORGANISM glycolysis.unificationXref130
glycolysis.physicalEntityParticipant95 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant33
glycolysis.unificationXref267 glycolysis.XREF glycolysis.unificationXref117
glycolysis.physicalEntityParticipant312 glycolysis.PARTICIPANTS glycolysis.modulation206
glycolysis.biochemicalReaction297 glycolysis.PARTICIPANTS glycolysis.biochemicalReaction84
glycolysis.physicalEntityParticipant16 glycolysis.PHYSICAL-ENTITY glycolysis.protein98
glycolysis.complex38 glycolysis.ORGANISM glycolysis.unificationXref267
glycolysis.publicationXref11 glycolysis.XREF glycolysis.unificationXref253
glycolysis.chemicalStructure20 glycolysis.XREF glycolysis.unificationXref245
glycolysis.chemicalStructure176 glycolysis.XREF glycolysis.physicalEntityParticipant184
glycolysis.modulation232 glycolysis.PARTICIPANTS glycolysis.biochemicalReaction56
glycolysis.unificationXref279 glycolysis.ORGANISM glycolysis.unificationXref226
glycolysis.unificationXref18 glycolysis.XREF glycolysis.bioSource43
glycolysis.unificationXref287 glycolysis.ORGANISM glycolysis.protein290
glycolysis.protein221 glycolysis.PHYSICAL-ENTITY glycolysis.smallMolecule86
glycolysis.protein221 glycolysis.PHYSICAL-ENTITY glycolysis.unificationXref44
glycolysis.unificationXref267 glycolysis.ORGANISM glycolysis.unificationXref224
glycolysis.physicalEntityParticipant188 glycolysis.PHYSICAL-ENTITY glycolysis.smallMolecule106
glycolysis.chemicalStructure236 glycolysis.XREF glycolysis.chemicalStructure60
glycolysis.smallMolecule160 glycolysis.ORGANISM glycolysis.unificationXref126
glycolysis.publicationXref203 glycolysis.XREF glycolysis.unificationXref255
glycolysis.publicationXref203 glycolysis.XREF glycolysis.chemicalStructure88
glycolysis.chemicalStructure179 glycolysis.STRUCTURE glycolysis.unificationXref182
glycolysis.physicalEntityParticipant173 glycolysis.RIGHT glycolysis.physicalEntityParticipant208
glycolysis.physicalEntityParticipant228 glycolysis.CONTROLLER glycolysis.modulation308
glycolysis.catalysis189 glycolysis.PARTICIPANTS glycolysis.modulation232
glycolysis.publicationXref294 glycolysis.PARTICIPANTS glycolysis.catalysis207
glycolysis.openControlledVocabulary17 glycolysis.PHYSICAL-ENTITY glycolysis.smallMolecule51
glycolysis.catalysis73 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant33
glycolysis.smallMolecule34 glycolysis.ORGANISM glycolysis.unificationXref45
glycolysis.publicationXref94 glycolysis.PARTICIPANTS glycolysis.modulation308
glycolysis.complex265 glycolysis.PHYSICAL-ENTITY glycolysis.physicalEntityParticipant173
glycolysis.complex265 glycolysis.ORGANISM glycolysis.unificationXref278
glycolysis.unificationXref118 glycolysis.XREF glycolysis.chemicalStructure186
glycolysis.publicationXref15 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant184
glycolysis.unificationXref143 glycolysis.XREF glycolysis.physicalEntityParticipant261
glycolysis.unificationXref200 glycolysis.XREF glycolysis.publicationXref10
glycolysis.chemicalStructure60 glycolysis.STRUCTURE glycolysis.chemicalStructure93
glycolysis.unificationXref36 glycolysis.XREF glycolysis.smallMolecule160
glycolysis.physicalEntityParticipant16 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant261
glycolysis.protein141 glycolysis.PHYSICAL-ENTITY glycolysis.protein284
glycolysis.unificationXref143 glycolysis.XREF glycolysis.chemicalStructure183
glycolysis.unificationXref146 glycolysis.ORGANISM glycolysis.unificationXref127
glycolysis.unificationXref146 glycolysis.XREF glycolysis.relationshipXref223
glycolysis.physicalEntityParticipant61 glycolysis.RIGHT glycolysis.publicationXref14
glycolysis.complex282 glycolysis.ORGANISM glycolysis.unificationXref47
glycolysis.biochemicalReaction56 glycolysis.PARTICIPANTS glycolysis.publicationXref9
glycolysis.unificationXref52 glycolysis.XREF glycolysis.unificationXref211
glycolysis.unificationXref287 glycolysis.ORGANISM glycolysis.smallMolecule178
glycolysis.openControlledVocabulary40 glycolysis.PHYSICAL-ENTITY glycolysis.biochemicalReaction295
glycolysis.unificationXref200 glycolysis.XREF glycolysis.publicationXref203
glycolysis.protein221 glycolysis.PHYSICAL-ENTITY glycolysis.protein141
glycolysis.unificationXref101 glycolysis.XREF glycolysis.modulation317
glycolysis.unificationXref225 glycolysis.ORGANISM glycolysis.unificationXref286
glycolysis.unificationXref270 glycolysis.XREF glycolysis.unificationXref272
glycolysis.unificationXref235 glycolysis.COMPONENTS glycolysis.physicalEntityParticipant140
glycolysis.catalysis207 glycolysis.PARTICIPANTS glycolysis.biochemicalReaction297
glycolysis.physicalEntityParticipant180 glycolysis.PHYSICAL-ENTITY glycolysis.complex265
glycolysis.protein42 glycolysis.PHYSICAL-ENTITY glycolysis.publicationXref244
glycolysis.biochemicalReaction260 glycolysis.XREF glycolysis.unificationXref31
glycolysis.unificationXref128 glycolysis.XREF glycolysis.protein251
glycolysis.relationshipXref266 glycolysis.XREF glycolysis.unificationXref118
glycolysis.chemicalStructure230 glycolysis.STRUCTURE glycolysis.unificationXref89
glycolysis.unificationXref202 glycolysis.ORGANISM glycolysis.unificationXref225
glycolysis.unificationXref69 glycolysis.XREF glycolysis.unificationXref187
glycolysis.publicationXref280 glycolysis.CONTROLLED glycolysis.catalysis189
glycolysis.physicalEntityParticipant74 glycolysis.LEFT glycolysis.physicalEntityParticipant90
glycolysis.chemicalStructure183 glycolysis.XREF glycolysis.publicationXref194
glycolysis.chemicalStructure88 glycolysis.XREF glycolysis.unificationXref125
glycolysis.unificationXref45 glycolysis.ORGANISM glycolysis.chemicalStructure219
glycolysis.biochemicalReaction205 glycolysis.XREF glycolysis.chemicalStructure53
glycolysis.protein196 glycolysis.CELLULAR-LOCATION glycolysis.smallMolecule268
glycolysis.physicalEntityParticipant74 glycolysis.XREF glycolysis.unificationXref49
glycolysis.physicalEntityParticipant114 glycolysis.ORGANISM glycolysis.unificationXref257
glycolysis.unificationXref45 glycolysis.XREF glycolysis.chemicalStructure20
glycolysis.smallMolecule106 glycolysis.PHYSICAL-ENTITY glycolysis.smallMolecule115
glycolysis.unificationXref231 glycolysis.XREF glycolysis.protein66
glycolysis.unificationXref227 glycolysis.XREF glycolysis.complex139
glycolysis.unificationXref271 glycolysis.XREF glycolysis.publicationXref192
glycolysis.unificationXref47 glycolysis.ORGANISM glycolysis.smallMolecule174
glycolysis.unificationXref101 glycolysis.ORGANISM glycolysis.complex121
glycolysis.unificationXref146 glycolysis.XREF glycolysis.chemicalStructure112
glycolysis.publicationXref14 glycolysis.RIGHT glycolysis.physicalEntityParticipant173
glycolysis.smallMolecule134 glycolysis.ORGANISM glycolysis.unificationXref278
glycolysis.unificationXref197 glycolysis.ORGANISM glycolysis.publicationXref192
glycolysis.smallMolecule247 glycolysis.XREF glycolysis.relationshipXref131
glycolysis.unificationXref256 glycolysis.XREF glycolysis.relationshipXref223
glycolysis.unificationXref212 glycolysis.XREF glycolysis.unificationXref256
glycolysis.publicationXref222 glycolysis.XREF glycolysis.protein284
glycolysis.unificationXref279 glycolysis.ORGANISM glycolysis.unificationXref144
glycolysis.unificationXref118 glycolysis.XREF glycolysis.unificationXref44
glycolysis.publicationXref11 glycolysis.XREF glycolysis.unificationXref224
glycolysis.unificationXref231 glycolysis.XREF glycolysis.publicationXref222
glycolysis.unificationXref103 glycolysis.XREF glycolysis.publicationXref10
glycolysis.unificationXref44 glycolysis.XREF glycolysis.unificationXref279
glycolysis.unificationXref202 glycolysis.ORGANISM glycolysis.publicationXref192
glycolysis.physicalEntityParticipant190 glycolysis.XREF glycolysis.unificationXref36
glycolysis.relationshipXref46 glycolysis.ORGANISM glycolysis.complex265
glycolysis.physicalEntityParticipant323 glycolysis.RIGHT glycolysis.publicationXref15
glycolysis.relationshipXref131 glycolysis.ORGANISM glycolysis.complex265
glycolysis.publicationXref322 glycolysis.CONTROLLER glycolysis.physicalEntityParticipant85
glycolysis.physicalEntityParticipant90 glycolysis.PHYSICAL-ENTITY glycolysis.smallMolecule218
glycolysis.physicalEntityParticipant323 glycolysis.XREF glycolysis.unificationXref272
glycolysis.unificationXref128 glycolysis.ORGANISM glycolysis.unificationXref144
glycolysis.chemicalStructure176 glycolysis.STRUCTURE glycolysis.unificationXref249
glycolysis.chemicalStructure179 glycolysis.STRUCTURE glycolysis.complex282
glycolysis.relationshipXref223 glycolysis.XREF glycolysis.physicalEntityParticipant190
glycolysis.publicationXref10 glycolysis.XREF glycolysis.unificationXref118
glycolysis.publicationXref3 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant184
glycolysis.unificationXref87 glycolysis.XREF glycolysis.modulation317
glycolysis.publicationXref8 glycolysis.XREF glycolysis.unificationXref231
glycolysis.unificationXref257 glycolysis.ORGANISM glycolysis.relationshipXref258
glycolysis.physicalEntityParticipant195 glycolysis.XREF glycolysis.unificationXref52
glycolysis.chemicalStructure28 glycolysis.XREF glycolysis.publicationXref194
glycolysis.physicalEntityParticipant233 glycolysis.CONTROLLED glycolysis.physicalEntityParticipant105
glycolysis.unificationXref126 glycolysis.ORGANISM glycolysis.publicationXref192
glycolysis.unificationXref226 glycolysis.XREF glycolysis.biochemicalReaction13
glycolysis.complex75 glycolysis.PHYSICAL-ENTITY glycolysis.publicationXref12
glycolysis.unificationXref45 glycolysis.ORGANISM glycolysis.physicalEntityParticipant120
glycolysis.unificationXref128 glycolysis.XREF glycolysis.smallMolecule218
glycolysis.physicalEntityParticipant300 glycolysis.CONTROLLED glycolysis.publicationXref322
glycolysis.protein196 glycolysis.CELLULAR-LOCATION glycolysis.protein284
glycolysis.unificationXref252 glycolysis.XREF glycolysis.unificationXref89
glycolysis.unificationXref245 glycolysis.XREF glycolysis.unificationXref124
glycolysis.unificationXref128 glycolysis.ORGANISM glycolysis.smallMolecule301
glycolysis.smallMolecule160 glycolysis.ORGANISM glycolysis.unificationXref197
glycolysis.unificationXref271 glycolysis.XREF glycolysis.unificationXref87
glycolysis.protein98 glycolysis.XREF glycolysis.unificationXref41
glycolysis.unificationXref197 glycolysis.ORGANISM glycolysis.unificationXref225
glycolysis.modulation237 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant289
glycolysis.physicalEntityParticipant303 glycolysis.PHYSICAL-ENTITY glycolysis.smallMolecule301
glycolysis.physicalEntityParticipant173 glycolysis.PARTICIPANTS glycolysis.publicationXref294
glycolysis.unificationXref143 glycolysis.ORGANISM glycolysis.smallMolecule34
glycolysis.physicalEntityParticipant250 glycolysis.COMPONENTS glycolysis.unificationXref156
glycolysis.unificationXref118 glycolysis.XREF glycolysis.publicationXref14
glycolysis.unificationXref45 glycolysis.XREF glycolysis.unificationXref224
glycolysis.unificationXref175 glycolysis.STRUCTURE glycolysis.chemicalStructure179
glycolysis.physicalEntityParticipant228 glycolysis.PARTICIPANTS glycolysis.biochemicalReaction56
glycolysis.unificationXref200 glycolysis.XREF glycolysis.chemicalStructure88
glycolysis.smallMolecule19 glycolysis.PHYSICAL-ENTITY glycolysis.physicalEntityParticipant85
glycolysis.catalysis161 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant233
glycolysis.modulation318 glycolysis.PARTICIPANTS glycolysis.publicationXref203
glycolysis.unificationXref101 glycolysis.XREF glycolysis.unificationXref227
glycolysis.unificationXref198 glycolysis.XREF glycolysis.smallMolecule304
glycolysis.unificationXref130 glycolysis.ORGANISM glycolysis.publicationXref170
glycolysis.smallMolecule30 glycolysis.ORGANISM glycolysis.unificationXref199
glycolysis.unificationXref199 glycolysis.XREF glycolysis.smallMolecule247
glycolysis.unificationXref202 glycolysis.XREF glycolysis.publicationXref294
glycolysis.unificationXref101 glycolysis.XREF glycolysis.unificationXref49
glycolysis.unificationXref89 glycolysis.XREF glycolysis.unificationXref127
glycolysis.unificationXref245 glycolysis.XREF glycolysis.publicationXref14
glycolysis.physicalEntityParticipant300 glycolysis.PARTICIPANTS glycolysis.modulation232
glycolysis.physicalEntityParticipant240 glycolysis.XREF glycolysis.unificationXref224
glycolysis.unificationXref279 glycolysis.XREF glycolysis.unificationXref48
glycolysis.chemicalStructure88 glycolysis.XREF glycolysis.unificationXref287
glycolysis.unificationXref210 glycolysis.XREF glycolysis.unificationXref182
glycolysis.unificationXref255 glycolysis.ORGANISM glycolysis.unificationXref103
glycolysis.unificationXref69 glycolysis.XREF glycolysis.unificationXref245
glycolysis.physicalEntityParticipant228 glycolysis.PHYSICAL-ENTITY glycolysis.smallMolecule268
glycolysis.smallMolecule185 glycolysis.PHYSICAL-ENTITY glycolysis.protein42
glycolysis.unificationXref89 glycolysis.XREF glycolysis.unificationXref21
glycolysis.chemicalStructure35 glycolysis.XREF glycolysis.protein209
glycolysis.publicationXref14 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant315
glycolysis.chemicalStructure20 glycolysis.XREF glycolysis.unificationXref212
glycolysis.relationshipXref258 glycolysis.XREF glycolysis.physicalEntityParticipant122
glycolysis.physicalEntityParticipant90 glycolysis.CELLULAR-LOCATION glycolysis.protein251
glycolysis.unificationXref246 glycolysis.XREF glycolysis.modulation318
glycolysis.protein284 glycolysis.PHYSICAL-ENTITY glycolysis.smallMolecule178
glycolysis.relationshipXref223 glycolysis.XREF glycolysis.unificationXref117
glycolysis.unificationXref129 glycolysis.ORGANISM glycolysis.smallMolecule134
glycolysis.biochemicalReaction56 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant29
glycolysis.complex241 glycolysis.COMPONENTS glycolysis.chemicalStructure112
glycolysis.unificationXref143 glycolysis.XREF glycolysis.unificationXref279
glycolysis.unificationXref255 glycolysis.XREF glycolysis.unificationXref200
glycolysis.unificationXref127 glycolysis.ORGANISM glycolysis.unificationXref245
glycolysis.physicalEntityParticipant173 glycolysis.RIGHT glycolysis.physicalEntityParticipant261
glycolysis.publicationXref15 glycolysis.RIGHT glycolysis.physicalEntityParticipant16
glycolysis.publicationXref322 glycolysis.PARTICIPANTS glycolysis.modulation313
glycolysis.chemicalStructure88 glycolysis.XREF glycolysis.unificationXref271
glycolysis.modulation318 glycolysis.CONTROLLED glycolysis.physicalEntityParticipant162
glycolysis.unificationXref125 glycolysis.XREF glycolysis.unificationXref270
glycolysis.unificationXref175 glycolysis.XREF glycolysis.unificationXref31
glycolysis.physicalEntityParticipant323 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant33
glycolysis.chemicalStructure88 glycolysis.XREF glycolysis.unificationXref124
glycolysis.physicalEntityParticipant323 glycolysis.CONTROLLER glycolysis.catalysis55
glycolysis.smallMolecule160 glycolysis.ORGANISM glycolysis.unificationXref267
glycolysis.biochemicalReaction297 glycolysis.PARTICIPANTS glycolysis.publicationXref15
glycolysis.physicalEntityParticipant188 glycolysis.XREF glycolysis.chemicalStructure176
glycolysis.physicalEntityParticipant323 glycolysis.XREF glycolysis.unificationXref235
glycolysis.complex282 glycolysis.ORGANISM glycolysis.unificationXref202
glycolysis.unificationXref292 glycolysis.XREF glycolysis.unificationXref235
glycolysis.physicalEntityParticipant312 glycolysis.CONTROLLED glycolysis.physicalEntityParticipant264
glycolysis.smallMolecule106 glycolysis.XREF glycolysis.publicationXref222
glycolysis.unificationXref278 glycolysis.XREF glycolysis.smallMolecule160
glycolysis.modulation318 glycolysis.CONTROLLER glycolysis.modulation302
glycolysis.unificationXref52 glycolysis.XREF glycolysis.chemicalStructure32
glycolysis.unificationXref125 glycolysis.XREF glycolysis.bioSource43
glycolysis.unificationXref48 glycolysis.XREF glycolysis.complex265
glycolysis.chemicalStructure28 glycolysis.STRUCTURE glycolysis.unificationXref18
glycolysis.unificationXref279 glycolysis.ORGANISM glycolysis.unificationXref197
glycolysis.unificationXref100 glycolysis.XREF glycolysis.unificationXref279
glycolysis.unificationXref198 glycolysis.XREF glycolysis.chemicalStructure35
glycolysis.physicalEntityParticipant188 glycolysis.PARTICIPANTS glycolysis.modulation313
glycolysis.unificationXref101 glycolysis.ORGANISM glycolysis.smallMolecule106
glycolysis.physicalEntityParticipant5 glycolysis.PHYSICAL-ENTITY glycolysis.smallMolecule247
